Time,Effective Wavelength,flux
5797.423699999999,2120.0,3.645492044618879e-15
5797.423699999999,2310.0,2.0602217574893782e-15
5797.423699999999,2910.0,1.6213425488494266e-15
5797.423699999999,3663.0,4.378940719418915e-15
5797.423699999999,4361.0,3.438223313568896e-15
5797.423699999999,5448.0,3.2659592450850775e-15
5797.423699999999,6407.0,7.118660749160821e-15
5797.423699999999,7980.0,4.570684187741577e-15
5797.423699999999,12200.0,9.379466934664459e-15
5797.423699999999,16300.0,5.6256636895960426e-15
5797.423699999999,21900.0,3.0904227040143358e-15
5798.423699999999,2120.0,2.8020611815237765e-15
5798.423699999999,2310.0,1.4905871725447988e-15
5798.423699999999,2910.0,4.766243619929842e-15
5798.423699999999,3663.0,1.2781339970312336e-14
5798.423699999999,4361.0,8.948013282986773e-15
5798.423699999999,5448.0,7.694354069624067e-15
5798.423699999999,6407.0,5.35636864219932e-15
5798.423699999999,7980.0,3.383929302738326e-15
5798.423699999999,12200.0,8.5625041257601e-15
5798.423699999999,16300.0,5.075990407846427e-15
5798.423699999999,21900.0,2.769338261461023e-15
5799.423699999999,2120.0,4.197700957756567e-15
5799.423699999999,2310.0,1.406854203621267e-15
5799.423699999999,2910.0,9.401977185324035e-15
5799.423699999999,3663.0,2.8612535047752605e-14
5799.423699999999,4361.0,1.9685969713693766e-14
5799.423699999999,5448.0,1.622282609787895e-14
5799.423699999999,6407.0,1.1260647989225776e-14
5799.423699999999,7980.0,7.17681565103669e-15
5799.423699999999,12200.0,6.848495744411714e-15
5799.423699999999,16300.0,3.9989379487769136e-15
5799.423699999999,21900.0,2.1658529531501947e-15
5800.423699999999,2120.0,8.088526597766793e-15
5800.423699999999,2310.0,1.9993405601433776e-15
5800.423699999999,2910.0,1.8072203586896793e-14
5800.423699999999,3663.0,5.785989813223894e-14
5800.423699999999,4361.0,3.618588077654221e-14
5800.423699999999,5448.0,3.0339694048776265e-14
5800.423699999999,6407.0,2.0436951576055695e-14
5800.423699999999,7980.0,1.3390228540746845e-14
5800.423699999999,12200.0,9.16014682548875e-15
5800.423699999999,16300.0,5.297824181471436e-15
5800.423699999999,21900.0,2.835781422120953e-15
5801.423699999999,2120.0,1.3786649303733006e-14
5801.423699999999,2310.0,3.7624889193782525e-15
5801.423699999999,2910.0,3.407704552028211e-14
5801.423699999999,3663.0,9.991294772284766e-14
5801.423699999999,4361.0,5.994193677295717e-14
5801.423699999999,5448.0,4.276317989150474e-14
5801.423699999999,6407.0,3.240300139007791e-14
5801.423699999999,7980.0,2.1722294606324208e-14
5801.423699999999,12200.0,1.2067309872689021e-14
5801.423699999999,16300.0,6.867804928908438e-15
5801.423699999999,21900.0,3.617326009566795e-15
5802.423699999999,2120.0,2.4111903317310734e-14
5802.423699999999,2310.0,7.243710162443887e-15
5802.423699999999,2910.0,6.357732934593677e-14
5802.423699999999,3663.0,1.6461215338260055e-13
5802.423699999999,4361.0,9.560581655545076e-14
5802.423699999999,5448.0,6.421622518587454e-14
5802.423699999999,6407.0,5.001255354007296e-14
5802.423699999999,7980.0,3.358168030801521e-14
5802.423699999999,12200.0,1.5784663290930494e-14
5802.423699999999,16300.0,8.888544664948074e-15
5802.423699999999,21900.0,4.7175293879899975e-15
5803.423699999999,2120.0,3.9628934695630017e-14
5803.423699999999,2310.0,1.3547946307989375e-14
5803.423699999999,2910.0,1.0452056757775374e-13
5803.423699999999,3663.0,2.6607317213822984e-13
5803.423699999999,4361.0,1.4100801152082246e-13
5803.423699999999,5448.0,9.117035681783925e-14
5803.423699999999,6407.0,7.288393654309795e-14
5803.423699999999,7980.0,4.812797098091349e-14
5803.423699999999,12200.0,1.8569543787277018e-14
5803.423699999999,16300.0,1.1120041141310848e-14
5803.423699999999,21900.0,5.551598622208182e-15
5804.423699999999,2120.0,6.315049231820474e-14
5804.423699999999,2310.0,2.3304867307347845e-14
5804.423699999999,2910.0,1.6508094426907025e-13
5804.423699999999,3663.0,3.8434396335696126e-13
5804.423699999999,4361.0,1.9236218428345869e-13
5804.423699999999,5448.0,1.2155409818800472e-13
5804.423699999999,6407.0,9.751233983593941e-14
5804.423699999999,7980.0,6.407578765621923e-14
5804.423699999999,12200.0,2.18618601651879e-14
5804.423699999999,16300.0,1.3314325292787736e-14
5804.423699999999,21900.0,6.486449831076782e-15
5805.423699999999,2120.0,9.246695349982036e-14
5805.423699999999,2310.0,3.7264993642177844e-14
5805.423699999999,2910.0,2.377726964382369e-13
5805.423699999999,3663.0,5.19936532722819e-13
5805.423699999999,4361.0,2.4397327041150393e-13
5805.423699999999,5448.0,1.5049561351826929e-13
5805.423699999999,6407.0,1.2234698800574441e-13
5805.423699999999,7980.0,7.741216858728048e-14
5805.423699999999,12200.0,2.633255554691419e-14
5805.423699999999,16300.0,1.487032209764961e-14
5805.423699999999,21900.0,7.693076736529786e-15
5806.423699999999,2120.0,1.2811610903623048e-13
5806.423699999999,2310.0,5.397460626407561e-14
5806.423699999999,2910.0,3.210702269224916e-13
5806.423699999999,3663.0,6.346176802614974e-13
5806.423699999999,4361.0,2.9289755935834597e-13
5806.423699999999,5448.0,1.8171929047782017e-13
5806.423699999999,6407.0,1.4627876519210484e-13
5806.423699999999,7980.0,9.273493915446423e-14
5806.423699999999,12200.0,3.372456098791049e-14
5806.423699999999,16300.0,1.717515700264236e-14
5806.423699999999,21900.0,9.55866302201347e-15
5807.423699999999,2120.0,1.573957039639311e-13
5807.423699999999,2310.0,7.263891333598168e-14
5807.423699999999,2910.0,3.678869787759497e-13
5807.423699999999,3663.0,7.843668504043828e-13
5807.423699999999,4361.0,3.5744246647472623e-13
5807.423699999999,5448.0,2.219157315106286e-13
5807.423699999999,6407.0,1.7434326857361074e-13
5807.423699999999,7980.0,1.0850194984986091e-13
5807.423699999999,12200.0,3.848750675309464e-14
5807.423699999999,16300.0,1.8768746784197693e-14
5807.423699999999,21900.0,1.0758467400820088e-14
5808.423699999999,2120.0,1.7737024103849808e-13
5808.423699999999,2310.0,8.727952391249911e-14
5808.423699999999,2910.0,4.1833457021878843e-13
5808.423699999999,3663.0,8.858411202532363e-13
5808.423699999999,4361.0,3.927908879498464e-13
5808.423699999999,5448.0,2.4004086756439795e-13
