,JD,Band,mag,mag_err,effective_wavelength
1143,5797.423699999999,UVW1,17.49,0.14,2910
1328,5797.425199999998,U,15.78,0.07,3663
1480,5797.426099999997,B,15.66,0.06,4361
1558,5797.430899999999,V,15.27,0.06,5448
1144,5797.490599999997,UVW1,17.23,0.13,2910
1329,5797.492100000003,U,15.65,0.07,3663
1481,5797.493000000002,B,15.5,0.05,4361
1559,5797.497799999997,V,15.1,0.06,5448
0,5798.17,U,15.013,0.086,3663
1,5798.17,B,15.185,0.03,4361
2,5798.17,V,14.797,0.021,5448
3,5798.17,R,14.74,0.02,6407
4,5798.17,I,14.848,0.03,7980
1145,5798.501900000003,UVW1,16.1,0.08,2910
1330,5798.502800000002,U,14.33,0.05,3663
1482,5798.503199999999,B,14.18,0.04,4361
655,5798.504500000003,UVW2,17.53,0.16,2120
1560,5798.505799999999,V,13.93,0.05,5448
9,5798.53,I,14.248,0.052,7980
8,5798.53,R,14.26,0.024,6407
5,5798.53,U,14.534,0.014,3663
6,5798.53,B,14.743,0.013,4361
7,5798.53,V,14.325,0.019,5448
1146,5798.629699999998,UVW1,15.89,0.07,2910
1331,5798.631099999999,U,14.2,0.04,3663
1483,5798.631800000003,B,14.12,0.04,4361
656,5798.633900000001,UVW2,17.59,0.15,2120
1561,5798.635999999999,V,13.79,0.04,5448
934,5798.6391,UVM2,18.69,0.36,2310
1147,5798.707300000002,UVW1,15.95,0.07,2910
1332,5798.708700000003,U,14.2,0.04,3663
1484,5798.7094,B,14.04,0.04,4361
657,5798.711499999998,UVW2,17.46,0.14,2120
1562,5798.713499999998,V,13.75,0.04,5448
1148,5798.897400000002,UVW1,15.77,0.06,2910
1333,5798.898800000003,U,14.0,0.04,3663
1485,5798.8994999999995,B,13.88,0.04,4361
658,5798.901599999997,UVW2,17.42,0.14,2120
1563,5798.903700000003,V,13.65,0.04,5448
935,5798.904999999999,UVM2,18.21,0.31,2310
1149,5799.035600000003,UVW1,15.55,0.06,2910
1334,5799.037300000004,U,13.88,0.04,3663
1486,5799.038200000003,B,13.79,0.04,4361
659,5799.040699999998,UVW2,17.29,0.12,2120
1564,5799.0432,V,13.49,0.04,5448
936,5799.047200000001,UVM2,18.6,0.33,2310
12,5799.16,V,13.685,0.02,5448
10,5799.16,U,13.894,0.044,3663
11,5799.16,B,14.027,0.03,4361
14,5799.16,I,13.745,0.03,7980
13,5799.16,R,13.641,0.02,6407
19,5799.53,I,13.333,0.04,7980
17,5799.53,V,13.41,0.02,5448
16,5799.53,B,13.687,0.019,4361
15,5799.53,U,13.572,0.036,3663
18,5799.53,R,13.367,0.025,6407
1150,5799.565000000002,UVW1,15.31,0.05,2910
1335,5799.566500000001,U,13.49,0.04,3663
1487,5799.567300000002,B,13.36,0.04,4361
660,5799.5696000000025,UVW2,16.84,0.09,2120
1565,5799.571900000003,V,13.12,0.04,5448
937,5799.5754000000015,UVM2,18.02,0.21,2310
558,5799.620999999999,J,12.86,0.01,12200
559,5799.620999999999,H,12.822,0.009,16300
